ReceiptFactKey,DateKeySent,DateKeyReceived,ProductKey,SupplierKey,OutletKey,PurchaseOrderCode,OrderedQty,ReceivedQty
1,20161031,20160611,10,18,5,SA311016 SENNHEISER PRO,4,4
2,20161031,20160611,11,15,5,SA311016 SONY PRO,2,0
3,20161031,20160611,4,17,5,SA311016 JVC PRO,6,6
4,20161031,20160611,9,18,5,SA311016 SENNHEISER PRO,5,5
5,20161031,20160611,21,21,5,SA311016 TOSHIBA PRO,2,0
6,20161116,20161116,7,12,5,SA1406,1,1
7,20161116,20161117,3,21,5,PM1611COMPUBA02,1,1
8,20160811,20161117,2,12,5,PM0811COMPUB,1,1
9,20160711,20161118,15,12,5,SA071116 SOLOCO ,4,0
10,20160711,20161118,14,12,5,SA071116 SOLOCO ,1,1
